更新时间,#genre#
CCTV-15,http://36.46.98.55:8010/rtp/239.112.205.214:5140$1920x1080
CCTV-15,http://123.56.129.203:4310/rtp/225.1.8.74:8136
CCTV-15,http://123.56.129.203:4310/rtp/225.1.8.115:8052
CCTV-16,http://59.173.243.210:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16,http://220.164.192.48:50085/tsfile/live/0017_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-16,http://117.27.190.42:9998/tsfile/live/23249_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16,http://61.138.128.226:19901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16,http://202.100.46.58:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16,http://115.58.178.165:58888/rtp/225.1.5.46:1356$1920x1080
CCTV-16,http://36.46.98.55:8010/rtp/239.111.205.134:5140$1920x1080
CCTV-16,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226100/index.m3u8
CCTV-16,http://171.118.136.143:8083/rtp/226.0.2.169:9264$1920x1080
CCTV-16,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010142/index.m3u8
CCTV-16,http://59.173.243.210:9901/tsfile/live/1036_1.m3u8
